Identifier,ACM Classification Code,Australian Educational Vocabulary,BabelNet,Basisklassifikation,BIBFRAME,BNCF Thesaurus,COAR,Cultureel Woordenboek,DBpedia,DCAT,DCMI Metadata Terms,Dictionary of Algorithms and Data Structures,Elhuyar ZTH,Encyclopædia Britannica Online,Encyclopædia Universalis,EuroVoc,File Format Wiki,Freebase,Gran Enciclopèdia Catalana,Great Russian Encyclopedia Online,GS1 Global Product Classification Brick Code,IAO,IUPAC Gold Book,Library of Congress Subject Headings,MathWorld,Microsoft Academic,National Diet Library,NicoNicoPedia,NIST/CODATA,Nomenclature for Museum Cataloging,OmegaWiki Defined Meaning,Princeton WordNet,PRONOM,PSH,QUDT,ROR,Schema.org,SPAR FaBiO,Store Norske Leksikon,Techopedia,Treccani,UNESCO Thesaurus,Unified Astronomy Thesaurus,UNSPSC Code,U.S. National Archives,VIAF,WikiData Item,WikiData Property,WordLift,World of Physics,YSO
electronicLead,,,https://babelnet.org/synset?word=bn:00012165n,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/073189,,,,,,,,https://academic.microsoft.com/v2/detail/152521382,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q947546,,,,
electronicOscillator,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/02pt5,,,,,,,,https://academic.microsoft.com/v2/detail/184492301,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q249997,,,,
electrostaticDischarge,,,,,,,,,,,,,,https://www.britannica.com/science/spark,,,,https://tools.wmflabs.org/freebase/m/0jzlj,,,,,,,,https://academic.microsoft.com/v2/detail/205483674,https://id.ndl.go.jp/auth/ndlna/00563320,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q3574961,,,,
elevationAngle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ellipse,,http://vocabulary.curriculum.edu.au/scot/4289.html,https://babelnet.org/synset?word=bn:00030406n,,,https://thes.bncf.firenze.sbn.it/termine.php?id=19758,,https://www.cultureelwoordenboek.nl/wiskunde/ellips,,,,,,https://www.britannica.com/topic/ellipse,,,,https://tools.wmflabs.org/freebase/m/02jll,https://www.enciclopedia.cat/EC-GEC-0100770.xml,,,,,,http://mathworld.wolfram.com/Ellipse.html,https://academic.microsoft.com/v2/detail/74261601,,,,,http://www.omegawiki.org/DefinedMeaning:666318,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q40112,,,,
ellipticOrbit,,,https://babelnet.org/synset?word=bn:03895305n,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/03xv3q,,,,,,,,https://academic.microsoft.com/v2/detail/173990265,,,,,,,,,,,,,,,,,http://astrothesaurus.org/uat/457,,,,https://www.wikidata.org/wiki/Q2268240,,,,
ellipticalPolarization ,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/182693469,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q14953420,,,,
elongation,,,,,,,,,,,,,,https://www.britannica.com/science/strain-mechanics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1990546,,,,
email,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/01r394,,,,http://purl.obolibrary.org/obo/IAO_0000429,,,,https://academic.microsoft.com/v2/detail/2778972732,,,,,http://www.omegawiki.org/DefinedMeaning:1422978,,,,,,https://schema.org/email,,,,,,,,,,https://www.wikidata.org/wiki/Q1273217,https://www.wikidata.org/wiki/Property:P968,,,
embeddedMemory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
embeddedSoftware,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/02y_3vt,,,,,,,,https://academic.microsoft.com/v2/detail/154488198,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1335007,,,,
embeddedSystem,,,https://babelnet.org/synset?word=bn:03233035n,,,https://thes.bncf.firenze.sbn.it/termine.php?id=65010,,https://www.cultureelwoordenboek.nl/techologie-en-techniek/embedded-systems,,,,,https://zthiztegia.elhuyar.eus/kontzeptua/137621,,,,,https://tools.wmflabs.org/freebase/m/0clf9,,,,,,https://id.loc.gov/authorities/sh87006632,,https://academic.microsoft.com/v2/detail/149635348,https://id.ndl.go.jp/auth/ndlna/01064710,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q193040,,,,
emissionSpectrum,,,,,,,,,,,,,https://zthiztegia.elhuyar.eus/kontzeptua/136603,https://www.britannica.com/science/emission-spectrum,,,,https://tools.wmflabs.org/freebase/m/01qr__,https://www.enciclopedia.cat/EC-GEC-0153188.xml,https://bigenc.ru/text/1839447,,,https://dx.doi.org/10.1351/goldbook.E02060,,,https://academic.microsoft.com/v2/detail/96141758,,,,,,,,https://psh.techlib.cz/skos/PSH3616,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q216817,,,,
emissivity,,,,,,,,,,,,,https://zthiztegia.elhuyar.eus/kontzeptua/013668,,,,,https://tools.wmflabs.org/freebase/m/03nd0c,https://www.enciclopedia.cat/EC-GEC-0178042.xml,,,,,,,https://academic.microsoft.com/v2/detail/163651212,,,,,http://www.omegawiki.org/DefinedMeaning:922104,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q899670,https://www.wikidata.org/wiki/Property:P1295,,,
encoderResolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
encryption,https://dl.acm.org/ccs/ccs.cfm?id=10002976&lid=10002976,http://vocabulary.curriculum.edu.au/scot/15803.html,,,,,,,,,,,,https://www.britannica.com/topic/data-encryption,,,,https://tools.wmflabs.org/freebase/m/02spk,https://www.enciclopedia.cat/EC-GEC-0272866.xml,,,,,,,https://academic.microsoft.com/v2/detail/148730421,https://id.ndl.go.jp/auth/ndlna/00560252,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q141090,,,,http://www.yso.fi/onto/yso/p5475
endAzimuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://schema.org/endTime,,,,,,,,,,,,,,
endOfLife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q224887,https://www.wikidata.org/wiki/Property:P2669,,,
endToEndDelay,,,,,,,,,,,,,,,,,,,,,,,,https://id.loc.gov/authorities/sh2007002385,,https://academic.microsoft.com/v2/detail/37624559,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q5375776,,,,
energy,,,https://babelnet.org/synset?word=bn:00030820n,,,https://thes.bncf.firenze.sbn.it/termine.php?id=7201,,https://www.cultureelwoordenboek.nl/natuurkunde-scheikunde-en-sterrenkunde/energie,,,,,,https://www.britannica.com/science/energy,https://www.universalis.fr/encyclopedie/energie-la-notion/,,,https://tools.wmflabs.org/freebase/m/02mm_,https://www.enciclopedia.cat/EC-GEC-0102231.xml,,,,https://dx.doi.org/10.1351/goldbook.E02101,https://id.loc.gov/authorities/sh85105992,,https://academic.microsoft.com/v2/detail/106447425,https://id.ndl.go.jp/auth/ndlna/00561932,https://dic.nicovideo.jp/a/%E3%82%A8%E3%83%8D%E3%83%AB%E3%82%AE%E3%83%BC,,,http://www.omegawiki.org/DefinedMeaning:1172,,,https://psh.techlib.cz/skos/PSH2959,,,https://schema.org/Energy,,https://snl.no/energi,,http://www.treccani.it/enciclopedia/energia,,,,,,https://www.wikidata.org/wiki/Q11379,,,,
energyDensity,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/05ggcb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q828402,,,,
energyStorage,,http://vocabulary.curriculum.edu.au/scot/2300.html,https://babelnet.org/synset?word=bn:01753271n,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/060kd,,,,,,,,https://academic.microsoft.com/v2/detail/73916439,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q837718,https://www.wikidata.org/wiki/Property:P4140,,,
engineeringTolerance,,,,,,https://thes.bncf.firenze.sbn.it/termine.php?id=60474,,,,,,,https://zthiztegia.elhuyar.eus/kontzeptua/137347,https://www.britannica.com/topic/tolerance-industrial-engineering,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/164628923,https://id.ndl.go.jp/auth/ndlna/00566663,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q950292,,,,
enthalpyOfFusion,,,,,,,,,,,,,,https://www.britannica.com/science/heat-of-fusion,,,,https://tools.wmflabs.org/freebase/m/025s8dr,,,,,,,,https://academic.microsoft.com/v2/detail/129564387,,,,,http://www.omegawiki.org/DefinedMeaning:426653,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q484790,https://www.wikidata.org/wiki/Property:P2066,,,
envelope,,,,,,,,,,,,,,https://www.britannica.com/science/envelope-sound,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/98801062,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q5380913,,,,
ephemeris,,,,,,,,,,,,,,https://www.britannica.com/science/ephemeris,,,,https://tools.wmflabs.org/freebase/m/0155pd,https://www.enciclopedia.cat/EC-GEC-0177384.xml,,,,,https://id.loc.gov/authorities/sh85044264,,https://academic.microsoft.com/v2/detail/64828349,https://id.ndl.go.jp/auth/ndlna/00572871,,,,,,,https://psh.techlib.cz/skos/PSH333,,,,,https://snl.no/efemerider,,,,,,,,https://www.wikidata.org/wiki/Q120200,,,,
epoch,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/01cdn8,,,,,,,,,,,,,,,,https://psh.techlib.cz/skos/PSH350,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q2703,https://www.wikidata.org/wiki/Property:P6259,,,
equator,,http://vocabulary.curriculum.edu.au/scot/5431.html,,,,https://thes.bncf.firenze.sbn.it/termine.php?id=6306,,https://www.cultureelwoordenboek.nl/aarde-weer-en-klimaat/evenaar,,,,,,https://www.britannica.com/place/Equator,,,,https://tools.wmflabs.org/freebase/m/02prc,,,,,,,,https://academic.microsoft.com/v2/detail/12980444,,,,,http://www.omegawiki.org/DefinedMeaning:520846,,,https://psh.techlib.cz/skos/PSH4240,,,,,,,,,,,,https://viaf.org/viaf/244554348,https://www.wikidata.org/wiki/Q23538,,,,
equinox,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/03c91s4,,,,,,,,https://academic.microsoft.com/v2/detail/43157870,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q3635600,,,,
equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q16798631,,,,
error,,,https://babelnet.org/synset?word=bn:00031485n,,,,,,,,,,,,https://www.universalis.fr/encyclopedie/erreur/,,,https://tools.wmflabs.org/freebase/m/0b8gc,https://www.enciclopedia.cat/EC-GEC-0180003.xml,,,,,https://id.loc.gov/authorities/sh85044727,,,,,,,,,,,,,https://schema.org/error,,,,http://www.treccani.it/enciclopedia/errore_(Dizionario-di-filosofia),,,,,,https://www.wikidata.org/wiki/Q29485,,,,
errorCorrectionCode,,,,,,,,,,,,,,https://www.britannica.com/topic/error-correction-coding,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/2911085968,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q55611017,,,,
errorVectorMagnitude,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/09ghd3,,,,,,,,https://academic.microsoft.com/v2/detail/161612827,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q3655948,,,,
escapeVelocity,,http://vocabulary.curriculum.edu.au/scot/15640.html,https://babelnet.org/synset?word=bn:00031555n,,,,,https://www.cultureelwoordenboek.nl/natuurkunde-scheikunde-en-sterrenkunde/ontsnappingssnelheid,,,,,,https://www.britannica.com/science/escape-velocity,,,,https://tools.wmflabs.org/freebase/m/09g5z,https://www.enciclopedia.cat/EC-GEC-0217024.xml,,,,,,,https://academic.microsoft.com/v2/detail/158284977,,,,,http://www.omegawiki.org/DefinedMeaning:1288783,,,https://psh.techlib.cz/skos/PSH2942,,,,,https://snl.no/unnslipningshastighet,,,,,,,,https://www.wikidata.org/wiki/Q166530,,,,
ethernet,,,,,,,,,,,,,,https://www.britannica.com/technology/Ethernet,https://www.universalis.fr/encyclopedie/ethernet/,,,https://tools.wmflabs.org/freebase/m/02lgj,,,,,,https://id.loc.gov/authorities/sh85045087,,https://academic.microsoft.com/v2/detail/172173386,,,,,http://www.omegawiki.org/DefinedMeaning:6871,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q79984,,,,http://www.yso.fi/onto/yso/p5276
evaporator,,,,,,https://thes.bncf.firenze.sbn.it/termine.php?id=23544,,,,,,,,https://www.britannica.com/science/evaporator,,,,https://tools.wmflabs.org/freebase/m/026x_jz,https://www.enciclopedia.cat/EC-GEC-0107171.xml,,,,,,,https://academic.microsoft.com/v2/detail/91311341,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1764892,,,,
expansionCard,,,,,,,,,,,,,https://zthiztegia.elhuyar.eus/kontzeptua/079403,,,,,https://tools.wmflabs.org/freebase/m/0jzf7,,,,,,https://id.loc.gov/authorities/sh85046412,,https://academic.microsoft.com/v2/detail/156845141,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q216158,,,,
exponentialDecay,,,,,,,,,,,,,,https://www.britannica.com/science/exponential-decay,,,,https://tools.wmflabs.org/freebase/m/01wtzt,,,,,https://dx.doi.org/10.1351/goldbook.E02275,,http://mathworld.wolfram.com/ExponentialDecay.html,https://academic.microsoft.com/v2/detail/180188523,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q574576,,,,
exposure,,http://vocabulary.curriculum.edu.au/scot/16465.html,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/0168y9,,,,,,,,https://academic.microsoft.com/v2/detail/119747287,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q271960,,,,
exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1385033,,,,
extremeResponseSpectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q5422450,,,,
fading,,,,,,,,,,,,,,https://www.britannica.com/technology/fading,https://www.universalis.fr/encyclopedie/fading-evanouissement/,,,https://tools.wmflabs.org/freebase/m/0kz08,https://www.enciclopedia.cat/EC-GEC-0107877.xml,,,,,,,https://academic.microsoft.com/v2/detail/81978471,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1196572,,,,
failure,,,https://babelnet.org/synset?word=bn:14956284n,,,https://thes.bncf.firenze.sbn.it/termine.php?id=56024,,,,,,,,,https://www.universalis.fr/encyclopedie/echec/,,,https://tools.wmflabs.org/freebase/m/0bm6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1121708,,,,
familyName,,,https://babelnet.org/synset?word=bn:00020465n,,,https://thes.bncf.firenze.sbn.it/termine.php?id=29505,,,http://dbpedia.org/ontology/Surname,,,,,https://www.britannica.com/topic/surname,,,,,,,,,,,,,,,,,,,,,,,https://schema.org/familyName,,,,,,,,,,https://www.wikidata.org/wiki/Q101352,https://www.wikidata.org/wiki/Property:P734,,,
fanIn,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/179431463,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1760638,,,,
fanOut,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/01qg1s,,,,,,,,https://academic.microsoft.com/v2/detail/68812741,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q636609,,,,
farField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatigueDamageSpectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fault,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/0ch89r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1095373,,,,
feederLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q21694698,,,,
feedline,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/05_05t,,,,,,,,https://academic.microsoft.com/v2/detail/133599803,,,,https://www.nomenclature.info/nom/11356,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q3497044,,,,
fieldOfView,,,,,,,,,,,,,,https://www.britannica.com/technology/field-of-view,,,,https://tools.wmflabs.org/freebase/m/01sdnt,,https://bigenc.ru/text/3152213,,,,,,https://academic.microsoft.com/v2/detail/150627866,https://id.ndl.go.jp/auth/ndlna/00571307,,,,,,,,,,,,,,,,http://astrothesaurus.org/uat/534,,,,https://www.wikidata.org/wiki/Q1076893,https://www.wikidata.org/wiki/Property:P4036,,,
fieldEffectTransistor,,,https://babelnet.org/synset?word=bn:00034158n,,,,,,,,,,,https://www.britannica.com/technology/field-effect-transistor,,,,https://tools.wmflabs.org/freebase/m/030k3,https://www.enciclopedia.cat/EC-GEC-0026924.xml,,,,,https://id.loc.gov/authorities/sh85048099,,https://academic.microsoft.com/v2/detail/145598152,https://id.ndl.go.jp/auth/ndlna/01150221,,,,,,,https://psh.techlib.cz/skos/PSH1973,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q176097,,,,
fieldProgrammableGateArray,,,https://babelnet.org/synset?word=bn:00217211n,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/02ytr,,,,,,https://id.loc.gov/authorities/sh93009062,,https://academic.microsoft.com/v2/detail/42935608,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q190411,,,,
fileFormat,,,,,,,,,,,http://purl.org/dc/terms/FileFormat,,,,,,,,https://www.enciclopedia.cat/EC-GEC-0281508.xml,,,,,,,https://academic.microsoft.com/v2/detail/97250363,,,,,,,,,,,https://schema.org/fileFormat,,,,,,,,,,https://www.wikidata.org/wiki/Q235557,https://www.wikidata.org/wiki/Property:P2701,,,
filenameExtension,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/012y_v,,,,,,,,https://academic.microsoft.com/v2/detail/2780494125,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q186157,https://www.wikidata.org/wiki/Property:P1195,,,
filter,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/106131492,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q3072260,,,,
firmware,,,,,,,,,,,,,,https://www.britannica.com/technology/firmware,,,http://fileformats.archiveteam.org/wiki/Firmware,https://tools.wmflabs.org/freebase/m/0b8t7,https://www.enciclopedia.cat/EC-GEC-0109118.xml,,,,,https://id.loc.gov/authorities/sh88000353,,https://academic.microsoft.com/v2/detail/67212190,,,,,,,,https://psh.techlib.cz/skos/PSH12572,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q104851,,,,
firstNullBeamwidth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firstSurfaceMirror,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/2781255493,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q5454249,,,,
flashMemory,,,,,,,,,,,,,,https://www.britannica.com/technology/flash-memory,,,http://fileformats.archiveteam.org/wiki/Flash_memory,https://tools.wmflabs.org/freebase/m/0dcp0,,,,,,https://id.loc.gov/authorities/sh93007615,,https://academic.microsoft.com/v2/detail/2776531357,,,,,,,,,,,,,,,,,,https://www.unspsc.org/search-code/?CSS=32101622,,,https://www.wikidata.org/wiki/Q174077,,,,http://www.yso.fi/onto/yso/p25656
flexibleImageTransportSystem,,,,,,,,,,,,,,,,,http://fileformats.archiveteam.org/wiki/Flexible_Image_Transport_System,https://tools.wmflabs.org/freebase/m/01dnrc,,,,,,,,,,,,,,,https://www.nationalarchives.gov.uk/pronom/x-fmt/383,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1428303,,,,
flexuralStrength,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/178405089,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q857201,,,,
flickerNoise,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/0gphsk,,,,,,,,https://academic.microsoft.com/v2/detail/113873419,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1410810,,,,
flightDynamics,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/183870437,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q758207,,,,
flightHeritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flipFlop,,,,,,,,,,,,,,https://www.britannica.com/technology/flip-flop,,,,https://tools.wmflabs.org/freebase/m/033pk,,,,,,,,https://academic.microsoft.com/v2/detail/2781007278,,,,,,,,https://psh.techlib.cz/skos/PSH1913,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q183406,,,,
flowCoefficient,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/143428516,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1794809,,,,
flowRate,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/0261x_,,,,,https://dx.doi.org/10.1351/goldbook.V06642,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1134348,,,,
fluxDensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q51720768,,,,
flywheel,,,,,,,,,,,,,,https://www.britannica.com/technology/flywheel,,,,https://tools.wmflabs.org/freebase/m/0m9yn,,,,,,,,https://academic.microsoft.com/v2/detail/31107917,https://id.ndl.go.jp/auth/ndlna/00563053,,,,http://www.omegawiki.org/DefinedMeaning:645745,,,https://psh.techlib.cz/skos/PSH2987,,,,,,,,,,https://www.unspsc.org/search-code/?CSS=31171803,,,https://www.wikidata.org/wiki/Q183576,,,,
focalCloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q5463842,,,,
focalLength,,http://vocabulary.curriculum.edu.au/scot/6297.html,https://babelnet.org/synset?word=bn:00035555n,,,,,,,,,,https://zthiztegia.elhuyar.eus/kontzeptua/032834,https://www.britannica.com/technology/focal-length,,,,https://tools.wmflabs.org/freebase/m/0l43r,,,,,,,,https://academic.microsoft.com/v2/detail/82552819,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q193540,https://www.wikidata.org/wiki/Property:P2151,,,
focalRatio,,,,,,,,,,,,,,,,,,,,https://bigenc.ru/text/2698063,,,,,,https://academic.microsoft.com/v2/detail/154614335,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q862169,https://www.wikidata.org/wiki/Property:P6790,,,
foil,,,,,,,,,,,,,,https://www.britannica.com/technology/foil-metallurgy,,,,https://tools.wmflabs.org/freebase/m/02vk7kj,,,,,,,,,,,,,,,,https://psh.techlib.cz/skos/PSH10347,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q251473,,,,
force,,,https://babelnet.org/synset?word=bn:00035768n,,,https://thes.bncf.firenze.sbn.it/termine.php?id=8644,,https://www.cultureelwoordenboek.nl/natuurkunde-scheikunde-en-sterrenkunde/kracht,,,,,,https://www.britannica.com/science/force-physics,,,,https://tools.wmflabs.org/freebase/m/02yc2,https://www.enciclopedia.cat/EC-GEC-0230473.xml,https://bigenc.ru/text/3661561,,,https://dx.doi.org/10.1351/goldbook.F02480,https://id.loc.gov/authorities/sh85050452,,,https://id.ndl.go.jp/auth/ndlna/00926874,,,,,,,https://psh.techlib.cz/skos/PSH2967,,,,,https://snl.no/kraft_-_fysikk,,,,,,,,https://www.wikidata.org/wiki/Q11402,https://www.wikidata.org/wiki/Property:P5708,,,
formFactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q24574728,,,,
forwardErrorCorrection,,,,,,,,,,,,,,https://www.britannica.com/topic/forward-error-control,,,,https://tools.wmflabs.org/freebase/m/0b8yk,,,,,,,,https://academic.microsoft.com/v2/detail/202932441,,,,,,,,https://psh.techlib.cz/skos/PSH6565,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q989220,,,,
fractionalBandwidth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,,,,,,,,,,,,,,,,,,,https://www.enciclopedia.cat/EC-GEC-0276529.xml,,,,,,,https://academic.microsoft.com/v2/detail/126042441,,,,,http://www.omegawiki.org/DefinedMeaning:1266496,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1324888,,,,
frameRate,,,,,,,,,,,,,,,,,,https://tools.wmflabs.org/freebase/m/0b8_t,,,,,,,,https://academic.microsoft.com/v2/detail/3261483,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q119565,,,,
framingBits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frequency,,http://vocabulary.curriculum.edu.au/scot/5243.html,,,,,,https://www.cultureelwoordenboek.nl/natuurkunde-scheikunde-en-sterrenkunde/frequentie,,,http://purl.org/dc/terms/Frequency,,,https://www.britannica.com/science/frequency-physics,,,,https://tools.wmflabs.org/freebase/m/02x93,,,,,https://dx.doi.org/10.1351/goldbook.F02525,,,,,,,,http://www.omegawiki.org/DefinedMeaning:7836,,,https://psh.techlib.cz/skos/PSH2945,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q11652,https://www.wikidata.org/wiki/Property:P2144,,,
frequencyBand,,,,,,,,,,,,,,https://www.britannica.com/technology/frequency-band,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/2778116611,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q25110567,,,,
frequencyConverter,,,,,,,,,,,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/2779237772,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q943941,,,,
frequencyMixer,,,,,,,,,,,,,,https://www.britannica.com/science/frequency-mixing,,,,https://tools.wmflabs.org/freebase/m/02fwqh,,,,,,,,https://academic.microsoft.com/v2/detail/15982861,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1357187,,,,
frequencyResolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frequencyResponse,,,,,,,,,,,,,,https://www.britannica.com/science/frequency-response,,,,https://tools.wmflabs.org/freebase/m/01s03j,,,,,,https://id.loc.gov/authorities/sh85051931,,https://academic.microsoft.com/v2/detail/8590192,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1054694,,,,
